method,gamma,lambda1,lambda2,lambda_e,lambda_e1,lambda_e21,lambda_z,val_ari,val_f1,score
SSC-TV,0.01,,,0.05,,,0.05,0.3254080411261123,0.06250000000000001,0.3410330411261123
SSC-TV,0.1,,,0.05,,,0.05,0.9924373218771335,0.375,1.0861873218771336
SSC-TV,0.5,,,0.05,,,0.05,0.9859015939845404,0.12500000000000003,1.0171515939845404
SSC-TV,0.01,,,0.05,,,0.1,0.20177912799737646,0.3875,0.29865412799737645
SSC-TV,0.1,,,0.05,,,0.1,0.9736046031048496,0.4875,1.0954796031048497
SSC-TV,0.5,,,0.05,,,0.1,0.9823026818041048,0.5625000000000001,1.122927681804105
SSC-TV,0.01,,,0.05,,,0.5,0.12486314905329417,0.5,0.24986314905329415
SSC-TV,0.1,,,0.05,,,0.5,0.7453341655282759,0.38750000000000007,0.842209165528276
SSC-TV,0.5,,,0.05,,,0.5,0.8822322053976371,0.8500000000000001,1.0947322053976372
SSC-TV,0.01,,,0.2,,,0.05,0.32386707226632516,0.06250000000000001,0.33949207226632516
SSC-TV,0.1,,,0.2,,,0.05,0.9865410699558443,0.06250000000000001,1.0021660699558443
SSC-TV,0.5,,,0.2,,,0.05,0.985787027540487,0.06250000000000001,1.001412027540487
SSC-TV,0.01,,,0.2,,,0.1,0.19543837135495673,0.06250000000000001,0.21106337135495673
SSC-TV,0.1,,,0.2,,,0.1,0.8048075576138259,0.05000000000000001,0.8173075576138259
SSC-TV,0.5,,,0.2,,,0.1,0.9916745412663924,0.075,1.0104245412663924
SSC-TV,0.01,,,0.2,,,0.5,0.009824297431218872,0.30000000000000004,0.08482429743121889
SSC-TV,0.1,,,0.2,,,0.5,0.4174060330683125,0.5,0.5424060330683125
SSC-TV,0.5,,,0.2,,,0.5,0.9897470451953798,0.625,1.1459970451953798
SSC-TV,0.01,,,1.0,,,0.05,0.32386707226632516,0.06250000000000001,0.33949207226632516
SSC-TV,0.1,,,1.0,,,0.05,0.9865410699558443,0.06250000000000001,1.0021660699558443
SSC-TV,0.5,,,1.0,,,0.05,0.985787027540487,0.06250000000000001,1.001412027540487
SSC-TV,0.01,,,1.0,,,0.1,0.19543837135495673,0.06250000000000001,0.21106337135495673
SSC-TV,0.1,,,1.0,,,0.1,0.8040202290282578,0.06250000000000001,0.8196452290282578
SSC-TV,0.5,,,1.0,,,0.1,0.9916745412663924,0.06250000000000001,1.0072995412663925
SSC-TV,0.01,,,1.0,,,0.5,0.009623608169678338,0.06250000000000001,0.02524860816967834
SSC-TV,0.1,,,1.0,,,0.5,0.3151040381117365,0.06250000000000001,0.3307290381117365
SSC-TV,0.5,,,1.0,,,0.5,0.8074088173170715,0.075,0.8261588173170715
SSC-TV-L21-P,0.01,,,0.05,,,0.05,0.2064154052268303,0.05000000000000001,0.2189154052268303
